Education,EmploymentStatus,TelecomCompany,ReasonForChoosing,DurationWithCompany,PlanType,Churn,ChurnReason_NetworkCoverage,ChurnReason_CustomerService,ChurnReason_Pricing,MonthlyCharges_Numeric,Gender_Numeric,AgeGroup_Numeric
Primary School,Retired,AirtelTigo,Coverage,1-2 years,Both,0,0,0,0,4,3,2
High school graduate,Employed part-time,Vodafone,Customer Service,6-12 months,Postpaid,1,1,1,1, ,1,5
High school graduate,Employed full-time,MTN,Coverage,3-4 years,Both,1,0,0,1,4,2,4
Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,1,1,1,0,7,3,2
Primary School,Employed full-time,Glo,Customer Service,Less than 6 months,Both,0,0,1,0,7,3,2
High school graduate,Employed full-time,Vodafone,Pricing,3-4 years,Both,0,1,1,0, ,4,4
High school graduate,Self-employed,AirtelTigo,Pricing,6-12 months,Postpaid,0,0,0,1,4,3,1
Prefer not to say,Employed part-time,MTN,Customer Service,5 or more years,Prepaid,1,1,1,0,1,1,5
Primary School,Employed full-time,AirtelTigo,Customer Service,3-4 years,Both,1,0,1,1,5,3,1
No Education,Student,MTN,Pricing,3-4 years,Postpaid,0,0,1,1,5,4,2
Primary School,Retired,Glo,Customer Service,Less than 6 months,Both,1,0,0,1, ,4,5
Primary School,Self-employed,MTN,Prefer not to say,Less than 6 months,Both,1,0,1,0,5,3,1
No Education,Self-employed,MTN,Customer Service,6-12 months,Postpaid,0,0,0,1,1,2,1
Postgraduate,Employed full-time,MTN,Prefer not to say,Less than 6 months,Both,1,0,1,1,7,3,1
No Education,Self-employed,MTN,Pricing,1-2 years,Postpaid,1,0,0,0,1,1,2
Primary School,Self-employed,Vodafone,Prefer not to say,6-12 months,Both,1,1,1,1,5,4,4
High school graduate,Employed part-time,Vodafone,Customer Service,6-12 months,Prepaid,1,1,1,1,6,1,5
Undergraduate,Employed full-time,AirtelTigo,Prefer not to say,1-2 years,Both,1,1,0,0,5,1,3
Primary School,Retired,AirtelTigo,Prefer not to say,5 or more years,Prepaid,0,1,0,0, ,4,4
Primary School,Student,MTN,Customer Service,3-4 years,Postpaid,0,0,0,1,5,1,1
Postgraduate,Unemployed,Vodafone,Prefer not to say,1-2 years,Postpaid,0,0,1,0,7,1,1
Postgraduate,Unemployed,MTN,Coverage,Less than 6 months,Prepaid,0,1,0,1,4,4,3
